input1,input1.1,input1.2,input1.3,input1.4,output1_delay4sec,output2_delay4sec,output3_delay4sec,output4_delay4sec,output5_delay4sec,output6_delay4sec,output7_delay4sec
46.49452,17.11812,700.125,1.00956,-17.70698,2062.1,14.784,20.316,94.118,178.46,769.25,637.69
46.83366,17.07435,700.125,1.00073,-17.90659,1533.3,14.762,20.755,61.329,183.2,775.42,642.2
47.2158,17.28464,700.125,1.006035,-18.10363,1408.3,14.751,21.026,50.318,183.24,781.09,646.92
47.31998,17.28967,700.125,1.00869,-18.29548,2059.5,14.791,20.603,83.67,181.95,782.78,648.85
47.12756,17.43879,700.125,1.007535,-18.48629,1601.4,14.779,21.041,56.896,184.83,788.97,653.71
47.22946,17.64223,700.125,1.005275,-18.67972,1422.6,14.763,21.161,45.5,189.71,793.13,656.96
47.21268,17.72664,700.125,1.007805,-18.88226,1480.6,14.774,20.952,47.252,194.71,796.11,659.31
47.26975,17.93708,700.125,1.00375,-19.06744,1622.6,14.789,20.826,52.209,197.01,799.63,662.3
47.19472,17.98834,700.125,1.00446,-19.26694,1440.7,14.776,20.89,41.478,203.05,803.68,665.63
47.20164,18.00518,700.125,1.010235,-19.3573,1718.2,14.799,20.635,52.369,205.1,806.7,668.16
47.19196,18.02869,700.125,1.009385,-19.193,1650.8,14.799,20.553,47.611,211.37,810.14,670.96
47.281,17.53411,700.125,1.007025,-19.00458,1279.1,14.761,20.864,29.983,215.91,812.14,673.17
47.16689,17.81405,700.125,0.9977,-18.80167,1331.7,14.767,20.89,33.42,210.85,809.48,670.82
47.24733,17.4263,700.125,1.00824,-18.6092,1484.5,14.782,20.786,43.104,206.57,805.37,666.86
47.27887,17.2981,700.125,1.00874,-18.39397,2307.0,14.798,20.324,81.717,196.99,800.3,663.03
47.20606,17.35739,700.125,1.00808,-18.19927,1431.2,14.77,20.994,43.592,197.27,798.57,661.33
47.17807,17.04023,700.125,1.00241,-18.00268,1414.5,14.764,21.105,44.436,192.43,794.77,658.24
47.21319,16.88222,700.125,1.007225,-17.81054,1463.0,14.767,21.126,48.43,187.62,791.26,655.48
47.2028,16.85879,700.125,1.002885,-17.62729,1897.2,14.79,20.814,73.936,182.59,785.56,651.09
47.16565,16.68155,700.125,1.010105,-17.42964,1540.3,14.769,21.146,56.882,180.76,783.17,648.96
44.81397,16.53728,700.125,1.013605,-17.22789,1877.6,14.786,20.97,77.026,175.03,778.67,645.73
44.68701,16.20079,700.125,1.003515,-17.02753,1396.9,14.742,21.391,51.17,175.27,776.68,643.7
44.57549,16.21153,700.125,1.00575,-16.83417,1248.0,14.706,20.567,46.595,189.89,769.0,636.06
44.24619,16.03528,700.125,1.012925,-16.62006,1873.0,14.776,19.992,90.923,183.57,761.44,630.71
43.9013,15.82265,700.125,1.00643,-16.42427,1707.1,14.765,20.127,82.602,181.23,758.53,628.3
43.39156,15.7424,700.125,1.00975,-16.21386,1313.5,14.707,20.385,56.606,183.94,755.8,625.46
42.94758,15.5984,700.125,1.01157,-16.00648,1685.9,14.757,19.922,87.492,180.17,749.15,620.6
42.72897,15.2776,700.125,1.011995,-15.81494,1493.4,14.731,19.888,76.072,181.74,745.26,617.07
