in1,in2,in3,in4,in5,in6,in7,in8,out1,out2,out3,out4,out5,out6,out7,out8,,,,,,,,
18.538,-13.874,42.431,42.423,259.88,85.534,0.4624,1.025,1.97E+05,610.03,665.42,301.76,317.98,14.137,4630,20.294,,,,,,,,
18.533,-13.875,41.702,43.766,259.85,85.554,0.45972,10.252,2.00E+05,610.03,665.98,301.21,315.43,14.135,4623,20.436,,,,,,,,
18.539,-13.875,30.671,41.488,259.83,85.542,0.45745,10.252,2.07E+05,611.28,667.32,295.84,310.07,14.134,4630.4,20.608,,,,,,,,
18.544,-13.875,41.477,40.684,259.85,85.601,0.46316,10.262,1.95E+05,610.14,665.17,302.16,315.43,14.129,4533.3,20.384,,,,,,,,
18.529,-13.875,45.856,42.811,259.84,85.586,0.46042,10.248,1.97E+05,609.82,665.41,301.94,318.99,14.138,4654.5,20.316,,,,,,,,
18.536,-13.875,42.538,41.383,259.87,85.616,0.46246,10.251,1.96E+05,610.08,665.23,301.62,318.45,14.136,4619.5,20.28,,,,,,,,
18.535,-13.875,30.698,4.241,259.85,85.525,0.46008,1.023,2.03E+05,611.05,666.95,295.72,319.16,14.149,4801.2,20.246,,,,,,,,
18.53,-13.875,46.272,4.354,259.85,85.549,0.46238,10.253,1.96E+05,609.53,665.11,303.71,318.59,14.135,4602.1,20.31,,,,,,,,
18.54,-13.875,43.006,41.121,259.84,85.576,0.45916,1.026,2.00E+05,610.3,665.85,300.69,312.96,14.129,4564.8,20.52,,,,,,,,
18.554,-13.875,42.334,40.898,259.87,85.596,0.46121,10.243,1.96E+05,610.29,665.49,300.08,319.36,14.141,4685.8,20.243,,,,,,,,
18.649,-13.995,30.594,43.568,259.86,85.626,0.46428,10.241,2.02E+05,611.79,667.57,301.51,312.95,14.147,4661.1,20.283,,,,,,,,
18.781,-14.25,45.469,43.464,259.85,85.505,0.45897,10.258,2.16E+05,614.09,670.38,309.08,292.26,14.142,4493.1,20.794,,,,,,,,
18.912,-14.25,48.282,4.658,259.87,85.513,0.4579,10.281,2.16E+05,613.15,670.5,312.95,284.58,14.128,4318.2,21.061,,,,,,,,
19.029,-14.58,47.469,46.011,259.51,85.956,0.45921,10.261,2.25E+05,616.69,673.31,319.52,280.51,14.15,4397.2,20.962,,,,,,,,
19.146,-14.626,47.548,45.422,259.5,85.901,0.45891,10.249,2.26E+05,617.41,673.96,318.9,280.89,14.161,4480,20.859,,,,,,,,
19.278,-14.965,43.064,47.069,259.47,85.996,0.45744,1.025,2.48E+05,621.54,678.63,325.38,263.09,14.169,4396.6,21.216,,,,,,,,
19.397,-15.001,47.549,47.805,259.47,85.906,0.45878,10.264,2.46E+05,621.52,678.65,329.77,257.34,14.162,4280.2,21.328,,,,,,,,
19.512,-15.12,53.747,48.508,259.47,85.884,0.457,10.234,2.49E+05,623.05,679.76,330.86,262.14,14.186,4483.8,21.09,,,,,,,,
19.642,-15.375,53.422,51.232,259.5,85.916,0.45329,10.296,2.74E+05,625.37,683.75,342.35,228.02,14.149,3980.5,22.172,,,,,,,,
19.76,-15.375,54.029,50.787,259.49,86.016,0.45243,10.264,2.69E+05,625.77,683.55,339.14,238.34,14.173,4207.3,21.772,,,,,,,,
19.885,-15.705,49.797,50.662,259.37,86.016,0.45267,10.269,2.92E+05,630.06,687.85,346.84,221.98,14.179,4095,22.131,,,,,,,,
20.005,-15.751,47.928,53.729,259.13,86.358,0.44889,10.175,2.87E+05,631.62,687.69,339.1,260.92,14.239,4806.3,21.045,,,,,,,,
20.119,-16.08,62.234,53.187,259.12,86.356,0.45012,10.215,3.02E+05,634.87,690.31,355.39,232.79,14.225,4426.1,21.692,,,,,,,,
20.242,-16.126,59.474,55.227,259.1,86.387,0.45002,10.264,3.10E+05,634.63,691.76,362.45,211.95,14.195,4044.7,22.345,,,,,,,,
20.365,-16.245,49.703,56.618,259.12,86.339,0.44315,10.283,3.35E+05,636.58,695.3,362.49,195.86,14.183,3874.3,23.058,,,,,,,,
20.501,-16.5,6.342,56.076,259.11,86.344,0.44325,10.267,3.41E+05,639.81,696.68,370.55,194.98,14.203,3949.6,22.919,,,,,,,,
20.606,-16.5,64.042,56.628,259.12,86.321,0.4421,10.267,3.41E+05,639.93,696.82,370.55,194.35,14.204,3943,22.954,,,,,,,,
20.729,-16.83,63.559,58.165,259.05,86.501,0.44219,10.272,3.63E+05,644.08,700.58,381.9,182.95,14.209,3832,23.254,,,,,,,,
20.857,-16.876,64.128,59.294,258.77,86.603,0.4409,10.222,3.60E+05,645.37,700.11,378.64,201.74,14.245,4179.3,22.659,,,,,,,,
20.978,-17.205,64.586,61.293,258.74,86.877,0.43923,10.259,3.88E+05,648.99,704.36,393.61,179.28,14.229,3845.6,23.411,,,,,,,,
21.103,-17.251,51.162,60.691,258.72,86.798,0.43765,1.033,4.08E+05,649.44,707.54,399.8,152.39,14.175,3335.9,24.6,,,,,,,,
21.217,-17.37,71.534,61.282,258.72,86.786,0.43779,10.276,3.97E+05,651.18,706.28,401.4,168.35,14.222,3686.8,23.778,,,,,,,,
21.339,-17.625,69.529,63.213,258.74,86.739,0.43578,10.304,4.25E+05,654.29,710.3,412.71,151.91,14.208,3441,24.478,,,,,,,,
21.474,-17.625,70.194,63.259,258.72,86.701,0.43716,10.273,4.17E+05,654.97,709.66,410.26,161.29,14.233,3637.3,23.983,,,,,,,,
21.601,-17.955,70.834,64.372,258.72,86.773,0.43477,1.03,4.49E+05,659.1,714.13,424.66,145.09,14.222,3395.6,24.688,,,,,,,,
21.708,-18.001,72.051,66.715,258.69,86.742,0.43233,1.029,4.55E+05,659.89,714.74,425.71,146.58,14.23,3438.7,24.71,,,,,,,,
21.835,-18.33,63.322,65.691,258.38,87.018,0.42728,10.282,4.94E+05,664.52,718.82,433.2,141.31,14.244,3415.9,25.094,,,,,,,,
21.955,-18.376,73.638,66.478,258.35,87.148,0.43043,1.028,4.80E+05,665.16,718.22,439.67,143.75,14.249,3433.5,24.827,,,,,,,,
22.072,-18.465,77.582,68.427,258.37,87.042,0.4265,10.283,4.93E+05,666.52,719.54,443.08,140.45,14.249,3393.5,25.109,,,,,,,,
22.206,-18.748,77.716,68.673,258.38,87.179,0.42812,10.293,5.14E+05,670.33,722.9,458.34,132.13,14.25,3268.6,25.365,,,,,,,,
22.322,-18.75,78.337,70.976,258.38,87.089,0.42755,10.302,5.15E+05,670.25,723.46,461.56,129.21,14.244,3199.5,25.537,,,,,,,,
22.439,-19.08,66.082,71.222,258.32,87.185,0.423,10.334,5.66E+05,674.32,729.05,477.3,113.59,14.226,2929.7,26.558,,,,,,,,
22.556,-19.126,8.004,71.194,258.37,87.119,0.42509,10.283,5.49E+05,676.22,727.47,475.14,126.71,14.27,3240.9,25.64,,,,,,,,
22.695,-19.455,82.749,73.685,257.74,87.429,0.417,10.177,5.89E+05,682.61,728.6,473.04,160.09,14.349,3900.8,24.59,,,,,,,,
22.805,-19.501,83.572,72.467,257.62,87.411,0.41834,10.292,5.93E+05,681.06,731.68,494.56,119.53,14.273,3118.5,26.322,,,,,,,,
22.92,-19.5,83.628,74.558,257.63,87.481,0.41897,10.312,5.91E+05,680.68,732.25,501.04,114.76,14.258,2987.4,26.563,,,,,,,,
22.85,-19.269,79.887,73.416,258.31,87.284,0.41983,1.027,5.65E+05,678.72,729.08,479.9,128.11,14.284,3281.6,25.709,,,,,,,,
