in1,in2,in3,in4,out1,out2,,,
-98.335,29.298,3000,599.73,2610,1891,,,
-10.277,29.289,3000,599.65,2614.1,1890.8,,,
-10.544,29.52,3000,597.93,2611.7,1893.4,,,
-11.324,29.761,3000.1,598.38,2619,1894.1,,,
-12.072,30.165,3000,600.5,2629,1894.4,,,
-12.196,30.684,3000,599.83,2626.3,1897.5,,,
-12.941,30.502,3000,603.35,2642.3,1894.4,,,
-13.646,31.428,3000,595.73,2627.6,1905.9,,,
-14.14,31.709,3000,602.29,2645.7,1903.1,,,
-14.751,31.524,3000,599.98,2647.3,1905.8,,,
-15.281,31.838,2999.9,600.49,2652.1,1908.9,,,
-15.994,31.933,3000,595.15,2646.9,1916,,,
-16.309,32.727,3000,598.65,2654.1,1918.8,,,
-17.022,32.661,3000,602.27,2669.4,1922,,,
-17.055,32.581,3000,599.02,2663,1923.3,,,
-18.036,33.108,3000,596.94,2666.3,1934,,,
-18.266,34.202,3000,600,2670.8,1938.3,,,
-19.036,33.331,3000,600.27,2682.8,1944,,,
-19.445,33.595,3000,597.37,2680.2,1949.3,,,
-20.109,34.224,3000,599.59,2689.5,1957.3,,,
-20.236,34.565,3000,600.32,2691.1,1959.1,,,
-20.742,34.854,3000,596.57,2688.1,1965,,,
-21.239,35.161,3000,600.1,2698.8,1969.6,,,
-22.225,35.344,3000,599.91,2705,1977.2,,,
-22.565,35.73,3000,598.76,2702.9,1980.1,,,
-23.536,35.719,3000,598.92,2702,1983.9,,,
-24.15,36.524,3000,595.98,2686.3,1987.8,,,
-24.015,36.141,3000,598.96,2696.2,1985.9,,,
-24.935,36.84,3000,598.12,2675.1,1988.4,,,
-25.078,36.901,3000,596.3,2667.4,1989.1,,,
-25.684,37.102,3000,600.47,2659.8,1987.4,,,
-25.757,37.399,3000,600.59,2655.8,1987.9,,,
-26.402,37.213,3000,598.88,2633.1,1986.3,,,
-26.37,37.988,3000,597,2623.5,1989.1,,,
-27.886,38.482,3000,596.86,2566.1,1982.6,,,
-27.961,38.553,3000,598.61,2567.2,1981.3,,,
-28.754,38.948,3000,599.04,2536.7,1974.9,,,
