in1,in2,in3,in4,in5,in6,out1,out2,out3,out4,out5,out6,out7,out8,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
28.807,277.77,2300.0,0.37005,17.891,0.98674,11261.0,13.743,8.44,238.68,3150000.0,714.28,622.86,1113.7,,,,,,,,,
29.224,273.92,2299.9,0.48209,17.556,0.98634,11323.0,13.744,8.41,226.46,3150000.0,714.56,622.0,1098.2,,,,,,,,,
30.513,268.16,2300.0,0.59527,17.215,0.98722,11134.0,13.768,84.162,205.71,3080000.0,718.31,623.39,1031.6,,,,,,,,,
31.752,264.33,2300.0,0.70503,16.883,0.98495,11411.0,13.78,84.683,187.88,3110000.0,722.34,624.79,972.89,,,,,,,,,
32.357,259.56,2300.0,0.81631,16.551,0.98339,11651.0,13.78,84.409,174.78,3150000.0,723.16,623.88,954.75,,,,,,,,,
32.853,255.49,2300.0,0.92683,16.219,0.9833,11664.0,13.785,84.082,164.43,3140000.0,723.77,623.22,938.16,,,,,,,,,
33.513,252.99,2300.0,10.362,15.889,0.98234,11781.0,13.792,84.239,155.2,3150000.0,725.65,623.63,912.65,,,,,,,,,
34.154,247.17,2300.0,11.505,15.549,0.98285,11700.0,13.802,83.662,143.73,3110000.0,726.41,622.81,891.32,,,,,,,,,
35.314,241.57,2299.9,12.649,15.205,0.98243,11700.0,13.82,83.624,131.2,3090000.0,729.69,623.72,845.63,,,,,,,,,
35.853,238.79,2300.0,13.765,14.867,0.98189,11756.0,13.826,83.596,124.65,3090000.0,730.97,623.91,828.81,,,,,,,,,
36.208,233.98,2300.0,14.901,14.525,0.98116,11892.0,13.824,83.014,116.94,3110000.0,730.72,622.53,827.34,,,,,,,,,
37.285,229.83,2300.0,16.044,14.185,0.98038,11923.0,13.841,83.235,109.03,3100000.0,734.13,624.35,788.25,,,,,,,,,
38.105,226.11,2300.0,17.157,13.851,0.97995,11914.0,13.854,83.323,102.94,3080000.0,736.5,625.77,760.69,,,,,,,,,
38.613,223.2,2300.0,18.274,13.518,0.97832,12161.0,13.854,8.334,98.055,3120000.0,737.58,626.21,754.81,,,,,,,,,
39.629,220.5,2299.9,19.341,13.199,0.97775,12118.0,13.873,8.393,94.064,3100000.0,741.25,629.77,719.37,,,,,,,,,
40.462,215.8,2299.9,20.396,12.879,0.97798,11969.0,13.889,83.916,88.828,3060000.0,743.48,631.91,690.89,,,,,,,,,
41.489,208.76,2300.0,21.509,12.547,0.9774,11952.0,13.903,8.373,82.05,3050000.0,745.91,634.25,663.94,,,,,,,,,
42.346,204.42,2300.0,22.652,12.208,0.97604,12081.0,13.912,83.987,77.814,3060000.0,748.32,637.19,646.83,,,,,,,,,
42.524,201.63,2300.0,23.781,11.869,0.97521,12239.0,13.907,83.663,74.108,3090000.0,747.94,636.6,651.79,,,,,,,,,
43.537,195.59,2299.9,2.487,11.539,0.97515,12091.0,13.924,83.717,69.293,3060000.0,750.69,640.16,621.59,,,,,,,,,
44.684,191.16,2300.0,25.995,11.201,0.97411,12078.0,13.943,84.384,66.29,3040000.0,754.52,645.69,592.83,,,,,,,,,
45.0,185.8,2299.9,27.104,10.867,0.97246,12401.0,13.933,83.693,61.18,3100000.0,754.05,644.69,601.83,,,,,,,,,
46.448,180.01,2300.0,2.819,10.543,0.97168,12269.0,13.959,84.456,58.197,3060000.0,759.02,651.95,562.9,,,,,,,,,
47.543,172.96,2300.0,29.322,10.207,0.97173,12068.0,13.978,84.371,53.756,3020000.0,761.93,656.01,532.8,,,,,,,,,
47.641,169.12,2299.9,30.435,98.708,0.97148,12141.0,13.972,8.362,49.908,3040000.0,760.92,654.42,536.43,,,,,,,,,
48.779,162.4,2299.9,31.547,9.537,0.97012,12211.0,13.984,83.692,46.155,3040000.0,764.11,658.86,516.03,,,,,,,,,
49.961,154.41,2300.0,3.266,92.035,0.96912,12209.0,13.997,8.35,41.832,3040000.0,767.18,662.94,493.14,,,,,,,,,
50.647,146.58,2299.9,33.777,88.735,0.9689,12176.0,14.001,82.598,37.005,3030000.0,767.92,663.47,480.74,,,,,,,,,
51.629,138.53,2299.9,3.489,85.465,0.96803,12200.0,14.01,82.099,32.807,3030000.0,770.03,666.01,464.05,,,,,,,,,
52.799,132.65,2300.0,36.002,8.21,0.96725,12126.0,14.027,82.474,30.276,3010000.0,773.68,671.18,439.5,,,,,,,,,
53.26,128.16,2300.0,3.678,79.684,0.9672,12073.0,14.032,82.085,27.832,3000000.0,774.39,671.96,430.27,,,,,,,,,
52.772,134.12,2300.1,36.029,81.925,0.96741,12081.0,14.03,82.806,31.008,3000000.0,773.96,671.84,437.94,,,,,,,,,
51.054,147.09,2300.1,33.929,88.201,0.96811,12223.0,14.009,8.336,37.83,3030000.0,769.98,666.72,473.27,,,,,,,,,
49.341,159.07,2300.1,31.715,94.867,0.96964,12206.0,13.992,83.716,44.759,3040000.0,765.83,661.12,504.25,,,,,,,,,
47.975,171.72,2300.1,29.558,10.138,0.97176,11965.0,13.988,84.708,53.444,3000000.0,763.62,658.54,519.18,,,,,,,,,
45.996,182.42,2300.1,27.367,10.792,0.97221,12245.0,13.954,84.346,60.168,3060000.0,757.83,650.1,571.22,,,,,,,,,
44.684,192.62,2300.0,25.126,11.461,0.97275,12333.0,13.938,84.772,68.562,3090000.0,755.19,646.47,600.65,,,,,,,,,
43.254,202.85,2300.1,2.29,12.129,0.97396,12302.0,13.923,84.986,77.531,3090000.0,752.07,642.32,629.61,,,,,,,,,
